timestamp,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
11/08/23,1852.47,1857.26,1838.05,1848.84,113209.3103,1.6918E+12,209237745.6,197546,54665.6809,101048972.2,0
12/08/23,1848.84,1854.01,1846.08,1849.93,63292.6476,1.69188E+12,117106742.6,154110,32218.9528,59615440.05,0
13/08/23,1849.94,1862,1834.51,1840.73,120674.1364,1.69197E+12,222956657.3,211874,69109.1508,127637208.7,0
14/08/23,1840.73,1856.5,1835,1845.5,150196.1203,1.69206E+12,277387603.7,244296,69702.7957,128731746.1,0
15/08/23,1845.5,1847.36,1814,1828.98,186081.6989,1.69214E+12,341622742,264314,85927.3188,157737206.7,0
16/08/23,1828.98,1831.52,1798.17,1807.81,205430.7368,1.69223E+12,373631455.9,311372,94619.3996,172094672.8,0
17/08/23,1807.81,1809.99,1550,1681.49,812138.2159,1.69232E+12,1390504308,906515,389817.1811,666353412.6,0
18/08/23,1681.49,1699.4,1641.02,1661.59,538083.1018,1.6924E+12,901117750.7,597838,256018.6718,428794110.1,0
19/08/23,1661.6,1696.72,1654.31,1669.67,231919.0485,1.69249E+12,387407573.4,312174,116535.7301,194692011.4,0
20/08/23,1669.68,1694.75,1662.03,1685.24,195623.5263,1.69258E+12,327342264.9,275035,94917.0042,158824704.1,0
21/08/23,1685.23,1688.59,1649.4,1667.55,250835.1518,1.69266E+12,418860905.1,297843,117136.718,195605713.1,0
22/08/23,1667.56,1669.38,1580,1634.99,402012.045,1.69275E+12,657589420.9,484314,187447.1847,306584459.8,0
23/08/23,1635,1702.11,1629.05,1679.61,374761.1088,1.69284E+12,622717740.8,472134,180299.0885,299569404.9,0
24/08/23,1679.61,1683.37,1635.28,1661.16,231539.7805,1.69292E+12,383948287.5,287178,111082.6585,184136212.6,0
25/08/23,1661.16,1677.22,1635.51,1653.8,236261.6898,1.69301E+12,390502520.6,307211,114825.1861,189795100.6,0
26/08/23,1653.79,1655.59,1644,1647.04,79175.425,1.69309E+12,130634757.6,157980,36874.9536,60839314.57,0
